date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202124,AG,male,22408,sex,344733,251693,6.5,73.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.53,53
202125,AG,male,18822,sex,344733,270515,5.46,78.47,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.523,52.300000000000004
202126,AG,male,18614,sex,344733,289129,5.4,83.87,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.533,53.300000000000004
202127,AG,male,19387,sex,344733,308516,5.62,89.49,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.542,54.2
202128,AG,male,16294,sex,344733,324810,4.73,94.22,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.553,55.300000000000004
202129,AG,male,10231,sex,344733,335041,2.97,97.19,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.536,53.6
202130,AG,male,7662,sex,344733,342703,2.22,99.41,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.521,52.1
202131,AG,male,6552,sex,344733,349255,1.9,101.31,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.512,51.2
202132,AG,male,5780,sex,344733,355035,1.68,102.99,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.517,51.7
202133,AG,male,6074,sex,344733,361109,1.76,104.75,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.503,50.3
202134,AG,male,7573,sex,344733,368682,2.2,106.95,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.503,50.3
202135,AG,male,7530,sex,344733,376212,2.18,109.13,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.508,50.8
202136,AG,male,8993,sex,344733,385205,2.61,111.74,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.522,52.2
202137,AG,male,10111,sex,344733,395316,2.93,114.67,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.525,52.5
202138,AG,male,8191,sex,344733,403507,2.38,117.05,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.505,50.5
202139,AG,male,7463,sex,344733,410970,2.16,119.21,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.511,51.1
202140,AG,male,7056,sex,344733,418026,2.05,121.26,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.522,52.2
202052,AG,female,1,sex,341112,1,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,1,100
202053,AG,female,165,sex,341112,166,0.05,0.05,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.676,67.60000000000001
202101,AG,female,1330,sex,341112,1496,0.39,0.44,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.527,52.7
202102,AG,female,1953,sex,341112,3449,0.57,1.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.558,55.800000000000004
202103,AG,female,3362,sex,341112,6811,0.99,2,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.545,54.50000000000001
202104,AG,female,3689,sex,341112,10500,1.08,3.08,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.583,58.3
202105,AG,female,5134,sex,341112,15634,1.51,4.58,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.593,59.3
202106,AG,female,4431,sex,341112,20065,1.3,5.88,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.575,57.49999999999999
202107,AG,female,6076,sex,341112,26141,1.78,7.66,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.547,54.7
202108,AG,female,8323,sex,341112,34464,2.44,10.1,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.559,55.900000000000006
202109,AG,female,7745,sex,341112,42209,2.27,12.37,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.564,56.39999999999999
202110,AG,female,7532,sex,341112,49741,2.21,14.58,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.554,55.400000000000006
202111,AG,female,5758,sex,341112,55499,1.69,16.27,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.545,54.50000000000001
202112,AG,female,8670,sex,341112,64169,2.54,18.81,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.528,52.800000000000004
202113,AG,female,8218,sex,341112,72387,2.41,21.22,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.523,52.300000000000004
202114,AG,female,11105,sex,341112,83492,3.26,24.48,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.532,53.2
202115,AG,female,14247,sex,341112,97739,4.18,28.65,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.566,56.599999999999994
202116,AG,female,15338,sex,341112,113077,4.5,33.15,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.513,51.300000000000004
202117,AG,female,13020,sex,341112,126097,3.82,36.97,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.522,52.2
202118,AG,female,17714,sex,341112,143811,5.19,42.16,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.511,51.1
202119,AG,female,17983,sex,341112,161794,5.27,47.43,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.55,55.00000000000001
202120,AG,female,20047,sex,341112,181841,5.88,53.31,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.52,52
202121,AG,female,20266,sex,341112,202107,5.94,59.25,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.495,49.5
202122,AG,female,24626,sex,341112,226733,7.22,66.47,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.48,48
202123,AG,female,23924,sex,341112,250657,7.01,73.48,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.48,48
202124,AG,female,19878,sex,341112,270535,5.83,79.31,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.47,47
202125,AG,female,17132,sex,341112,287667,5.02,84.33,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.476,47.599999999999994
202126,AG,female,16325,sex,341112,303992,4.79,89.12,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.467,46.7
202127,AG,female,16355,sex,341112,320347,4.79,93.91,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.458,45.800000000000004
202128,AG,female,13161,sex,341112,333508,3.86,97.77,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.447,44.7
202129,AG,female,8874,sex,341112,342382,2.6,100.37,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.464,46.400000000000006
202130,AG,female,7050,sex,341112,349432,2.07,102.44,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.479,47.9
202131,AG,female,6251,sex,341112,355683,1.83,104.27,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.488,48.8
202132,AG,female,5410,sex,341112,361093,1.59,105.86,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.483,48.3
202133,AG,female,6006,sex,341112,367099,1.76,107.62,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.497,49.7
202134,AG,female,7474,sex,341112,374573,2.19,109.81,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.497,49.7
202135,AG,female,7289,sex,341112,381862,2.14,111.95,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.492,49.2
202136,AG,female,8242,sex,341112,390104,2.42,114.36,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.478,47.8
202137,AG,female,9154,sex,341112,399258,2.68,117.05,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.475,47.5
202138,AG,female,8032,sex,341112,407290,2.35,119.4,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.495,49.5
202139,AG,female,7148,sex,341112,414438,2.1,121.5,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.489,48.9
202140,AG,female,6457,sex,341112,420895,1.89,123.39,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.478,47.8
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202101,AG,unknown,1,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202102,AG,unknown,1,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202103,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202104,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202105,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202106,AG,unknown,1,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202107,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202108,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202109,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202110,AG,unknown,1,sex,NA,4,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202111,AG,unknown,0,sex,NA,4,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202112,AG,unknown,1,sex,NA,5,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202113,AG,unknown,0,sex,NA,5,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202114,AG,unknown,1,sex,NA,6,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202115,AG,unknown,0,sex,NA,6,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202116,AG,unknown,1,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202117,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202118,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202119,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202120,AG,unknown,1,sex,NA,8,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202121,AG,unknown,3,sex,NA,11,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202122,AG,unknown,0,sex,NA,11,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202123,AG,unknown,0,sex,NA,11,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202124,AG,unknown,1,sex,NA,12,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202125,AG,unknown,3,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202126,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202127,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202128,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202129,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202130,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202131,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202132,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202133,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202134,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202135,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202136,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202137,AG,unknown,2,sex,NA,17,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202138,AG,unknown,0,sex,NA,17,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202139,AG,unknown,0,sex,NA,17,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202140,AG,unknown,0,sex,NA,17,NA,NA,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202052,AI,male,10,sex,8303,10,0.12,0.12,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.222,22.2
202053,AI,male,0,sex,8303,10,0,0.12,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,NA,NA
202101,AI,male,179,sex,8303,189,2.16,2.28,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.509,50.9
202102,AI,male,94,sex,8303,283,1.13,3.41,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.485,48.5
202103,AI,male,177,sex,8303,460,2.13,5.54,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.494,49.4
202104,AI,male,68,sex,8303,528,0.82,6.36,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.391,39.1
202105,AI,male,164,sex,8303,692,1.98,8.33,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.509,50.9
202106,AI,male,140,sex,8303,832,1.69,10.02,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.473,47.3
202107,AI,male,197,sex,8303,1029,2.37,12.39,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.488,48.8
202108,AI,male,52,sex,8303,1081,0.63,13.02,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.481,48.1
202109,AI,male,35,sex,8303,1116,0.42,13.44,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.467,46.7
202110,AI,male,48,sex,8303,1164,0.58,14.02,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.453,45.300000000000004
202111,AI,male,9,sex,8303,1173,0.11,14.13,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.375,37.5
202112,AI,male,135,sex,8303,1308,1.63,15.75,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.402,40.2
202113,AI,male,318,sex,8303,1626,3.83,19.58,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.483,48.3
202114,AI,male,152,sex,8303,1778,1.83,21.41,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.483,48.3
202115,AI,male,52,sex,8303,1830,0.63,22.04,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.495,49.5
202116,AI,male,311,sex,8303,2141,3.75,25.79,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.481,48.1
202117,AI,male,534,sex,8303,2675,6.43,32.22,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.485,48.5
202118,AI,male,345,sex,8303,3020,4.16,36.37,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.492,49.2
202119,AI,male,259,sex,8303,3279,3.12,39.49,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.522,52.2
202120,AI,male,406,sex,8303,3685,4.89,44.38,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.517,51.7
202121,AI,male,621,sex,8303,4306,7.48,51.86,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.528,52.800000000000004
202122,AI,male,612,sex,8303,4918,7.37,59.23,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.528,52.800000000000004
202123,AI,male,371,sex,8303,5289,4.47,63.7,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.538,53.800000000000004
202124,AI,male,242,sex,8303,5531,2.91,66.61,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.515,51.5
202125,AI,male,422,sex,8303,5953,5.08,71.7,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.552,55.2
202126,AI,male,442,sex,8303,6395,5.32,77.02,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.536,53.6
202127,AI,male,204,sex,8303,6599,2.46,79.48,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.576,57.599999999999994
202128,AI,male,115,sex,8303,6714,1.39,80.86,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.5,50
202129,AI,male,75,sex,8303,6789,0.9,81.77,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.56,56.00000000000001
202130,AI,male,83,sex,8303,6872,1,82.77,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.557,55.7
202131,AI,male,90,sex,8303,6962,1.08,83.85,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.562,56.2
202132,AI,male,99,sex,8303,7061,1.19,85.04,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.544,54.400000000000006
202133,AI,male,94,sex,8303,7155,1.13,86.17,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.516,51.6
202134,AI,male,165,sex,8303,7320,1.99,88.16,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.506,50.6
202135,AI,male,164,sex,8303,7484,1.98,90.14,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.512,51.2
202136,AI,male,168,sex,8303,7652,2.02,92.16,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.533,53.300000000000004
202137,AI,male,272,sex,8303,7924,3.28,95.44,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.523,52.300000000000004
202138,AI,male,157,sex,8303,8081,1.89,97.33,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.498,49.8
202139,AI,male,161,sex,8303,8242,1.94,99.27,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.478,47.8
202140,AI,male,163,sex,8303,8405,1.96,101.23,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.529,52.900000000000006
202052,AI,female,35,sex,7825,35,0.45,0.45,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.778,77.8
202053,AI,female,0,sex,7825,35,0,0.45,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,NA,NA
202101,AI,female,173,sex,7825,208,2.21,2.66,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.491,49.1
202102,AI,female,100,sex,7825,308,1.28,3.94,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.515,51.5
202103,AI,female,181,sex,7825,489,2.31,6.25,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.506,50.6
202104,AI,female,106,sex,7825,595,1.35,7.6,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.609,60.9
202105,AI,female,158,sex,7825,753,2.02,9.62,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.491,49.1
202106,AI,female,156,sex,7825,909,1.99,11.62,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.527,52.7
202107,AI,female,207,sex,7825,1116,2.65,14.26,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.512,51.2
202108,AI,female,56,sex,7825,1172,0.72,14.98,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.519,51.9
202109,AI,female,40,sex,7825,1212,0.51,15.49,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.533,53.300000000000004
202110,AI,female,58,sex,7825,1270,0.74,16.23,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.547,54.7
202111,AI,female,15,sex,7825,1285,0.19,16.42,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.625,62.5
202112,AI,female,201,sex,7825,1486,2.57,18.99,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.598,59.8
202113,AI,female,341,sex,7825,1827,4.36,23.35,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.517,51.7
202114,AI,female,163,sex,7825,1990,2.08,25.43,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.517,51.7
202115,AI,female,53,sex,7825,2043,0.68,26.11,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.505,50.5
202116,AI,female,336,sex,7825,2379,4.29,30.4,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.519,51.9
202117,AI,female,568,sex,7825,2947,7.26,37.66,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.515,51.5
202118,AI,female,356,sex,7825,3303,4.55,42.21,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.508,50.8
202119,AI,female,237,sex,7825,3540,3.03,45.24,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.478,47.8
202120,AI,female,380,sex,7825,3920,4.86,50.1,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.483,48.3
202121,AI,female,556,sex,7825,4476,7.11,57.2,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.472,47.199999999999996
202122,AI,female,546,sex,7825,5022,6.98,64.18,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.472,47.199999999999996
202123,AI,female,319,sex,7825,5341,4.08,68.26,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.462,46.2
202124,AI,female,228,sex,7825,5569,2.91,71.17,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.485,48.5
202125,AI,female,343,sex,7825,5912,4.38,75.55,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.448,44.800000000000004
202126,AI,female,382,sex,7825,6294,4.88,80.43,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.464,46.400000000000006
202127,AI,female,150,sex,7825,6444,1.92,82.35,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.424,42.4
202128,AI,female,115,sex,7825,6559,1.47,83.82,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.5,50
202129,AI,female,59,sex,7825,6618,0.75,84.58,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.44,44
202130,AI,female,66,sex,7825,6684,0.84,85.42,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.443,44.3
202131,AI,female,70,sex,7825,6754,0.89,86.31,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.438,43.8
202132,AI,female,83,sex,7825,6837,1.06,87.37,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.456,45.6
202133,AI,female,88,sex,7825,6925,1.12,88.5,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.484,48.4
202134,AI,female,161,sex,7825,7086,2.06,90.56,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.494,49.4
202135,AI,female,156,sex,7825,7242,1.99,92.55,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.488,48.8
202136,AI,female,147,sex,7825,7389,1.88,94.43,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.467,46.7
202137,AI,female,248,sex,7825,7637,3.17,97.6,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.477,47.699999999999996
