date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202118,AG,chronic_disease,4068,indication,685845,27575,4,0.335,33.5,29.4,0.59,4.02,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202119,AG,chronic_disease,4215,indication,685845,31790,4.6,0.293,29.299999999999997,29.4,0.61,4.64,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202120,AG,chronic_disease,7583,indication,685845,39373,5.7,0.354,35.4,30.4,1.11,5.74,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202121,AG,chronic_disease,5205,indication,685845,44578,6.5,0.299,29.9,30.3,0.76,6.5,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202122,AG,chronic_disease,5852,indication,685845,50430,7.4,0.225,22.5,29.099999999999998,0.85,7.35,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202123,AG,chronic_disease,3605,indication,685845,54035,7.9,0.186,18.6,28.1,0.53,7.88,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202124,AG,chronic_disease,2555,indication,685845,56590,8.3,0.143,14.299999999999999,26.900000000000002,0.37,8.25,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202125,AG,chronic_disease,2076,indication,685845,58666,8.6,0.087,8.7,25.1,0.3,8.55,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202126,AG,chronic_disease,1531,indication,685845,60197,8.8,0.058,5.800000000000001,23.1,0.22,8.78,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202127,AG,chronic_disease,1404,indication,685845,61601,9,0.045,4.5,21.099999999999998,0.2,8.98,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202128,AG,chronic_disease,1210,indication,685845,62811,9.2,0.05,5,19.900000000000002,0.18,9.16,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202129,AG,chronic_disease,912,indication,685845,63723,9.3,0.062,6.2,19.3,0.13,9.29,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202130,AG,chronic_disease,568,indication,685845,64291,9.4,0.058,5.800000000000001,18.9,0.08,9.37,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202131,AG,chronic_disease,417,indication,685845,64708,9.4,0.059,5.8999999999999995,18.6,0.06,9.43,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202132,AG,chronic_disease,444,indication,685845,65152,9.5,0.072,7.199999999999999,18.4,0.06,9.5,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202133,AG,chronic_disease,373,indication,685845,65525,9.6,0.07,7.000000000000001,18.3,0.05,9.55,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202134,AG,chronic_disease,419,indication,685845,65944,9.6,0.069,6.9,18.099999999999998,0.06,9.62,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202135,AG,chronic_disease,407,indication,685845,66351,9.7,0.073,7.3,17.9,0.06,9.67,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202136,AG,chronic_disease,418,indication,685845,66769,9.7,0.069,6.9,17.7,0.06,9.74,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202137,AG,chronic_disease,460,indication,685845,67229,9.8,0.062,6.2,17.5,0.07,9.8,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202138,AG,chronic_disease,552,indication,685845,67781,9.9,0.061,6.1,17.2,0.08,9.88,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202139,AG,chronic_disease,659,indication,685845,68440,10,0.068,6.800000000000001,17,0.1,9.98,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202140,AG,chronic_disease,732,indication,685845,69172,10.1,0.074,7.3999999999999995,16.8,0.11,10.09,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202052,AG,med_prof,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202053,AG,med_prof,1,indication,685845,1,0,0.5,50,50,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202101,AG,med_prof,0,indication,685845,1,0,0,0,16.7,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202102,AG,med_prof,9,indication,685845,10,0,0.643,64.3,50,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202103,AG,med_prof,144,indication,685845,154,0,0.873,87.3,83.2,0.02,0.02,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202104,AG,med_prof,161,indication,685845,315,0,0.208,20.8,32.9,0.02,0.05,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202105,AG,med_prof,350,indication,685845,665,0.1,0.136,13.600000000000001,18.8,0.05,0.1,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202106,AG,med_prof,387,indication,685845,1052,0.2,0.151,15.1,17.299999999999997,0.06,0.15,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202107,AG,med_prof,432,indication,685845,1484,0.2,0.082,8.200000000000001,13,0.06,0.22,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202108,AG,med_prof,844,indication,685845,2328,0.3,0.129,12.9,13,0.12,0.34,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202109,AG,med_prof,784,indication,685845,3112,0.5,0.132,13.200000000000001,13,0.11,0.45,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202110,AG,med_prof,1156,indication,685845,4268,0.6,0.247,24.7,15,0.17,0.62,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202111,AG,med_prof,989,indication,685845,5257,0.8,0.192,19.2,15.6,0.14,0.77,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202112,AG,med_prof,816,indication,685845,6073,0.9,0.097,9.700000000000001,14.399999999999999,0.12,0.89,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202113,AG,med_prof,480,indication,685845,6553,1,0.076,7.6,13.5,0.07,0.96,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202114,AG,med_prof,781,indication,685845,7334,1.1,0.088,8.799999999999999,12.8,0.11,1.07,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202115,AG,med_prof,553,indication,685845,7887,1.1,0.086,8.6,12.4,0.08,1.15,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202116,AG,med_prof,748,indication,685845,8635,1.3,0.091,9.1,12,0.11,1.26,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202117,AG,med_prof,629,indication,685845,9264,1.4,0.065,6.5,11.3,0.09,1.35,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202118,AG,med_prof,860,indication,685845,10124,1.5,0.071,7.1,10.8,0.13,1.48,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202119,AG,med_prof,3357,indication,685845,13481,2,0.233,23.3,12.4,0.49,1.97,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202120,AG,med_prof,3436,indication,685845,16917,2.5,0.16,16,13,0.5,2.47,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202121,AG,med_prof,1673,indication,685845,18590,2.7,0.096,9.6,12.6,0.24,2.71,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202122,AG,med_prof,1772,indication,685845,20362,3,0.068,6.800000000000001,11.799999999999999,0.26,2.97,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202123,AG,med_prof,1291,indication,685845,21653,3.2,0.067,6.7,11.200000000000001,0.19,3.16,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202124,AG,med_prof,1133,indication,685845,22786,3.3,0.064,6.4,10.8,0.17,3.32,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202125,AG,med_prof,914,indication,685845,23700,3.5,0.038,3.8,10.100000000000001,0.13,3.46,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202126,AG,med_prof,557,indication,685845,24257,3.5,0.021,2.1,9.3,0.08,3.54,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202127,AG,med_prof,519,indication,685845,24776,3.6,0.017,1.7000000000000002,8.5,0.08,3.61,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202128,AG,med_prof,312,indication,685845,25088,3.7,0.013,1.3,7.9,0.05,3.66,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202129,AG,med_prof,232,indication,685845,25320,3.7,0.016,1.6,7.7,0.03,3.69,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202130,AG,med_prof,231,indication,685845,25551,3.7,0.024,2.4,7.5,0.03,3.73,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202131,AG,med_prof,149,indication,685845,25700,3.7,0.021,2.1,7.3999999999999995,0.02,3.75,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202132,AG,med_prof,135,indication,685845,25835,3.8,0.022,2.1999999999999997,7.3,0.02,3.77,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202133,AG,med_prof,139,indication,685845,25974,3.8,0.026,2.6,7.199999999999999,0.02,3.79,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202134,AG,med_prof,178,indication,685845,26152,3.8,0.029,2.9000000000000004,7.199999999999999,0.03,3.81,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202135,AG,med_prof,143,indication,685845,26295,3.8,0.026,2.6,7.1,0.02,3.83,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202136,AG,med_prof,160,indication,685845,26455,3.9,0.027,2.7,7.000000000000001,0.02,3.86,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202137,AG,med_prof,192,indication,685845,26647,3.9,0.026,2.6,6.9,0.03,3.89,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202138,AG,med_prof,258,indication,685845,26905,3.9,0.029,2.9000000000000004,6.800000000000001,0.04,3.92,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202139,AG,med_prof,268,indication,685845,27173,4,0.028,2.8000000000000003,6.7,0.04,3.96,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202140,AG,med_prof,278,indication,685845,27451,4,0.028,2.8000000000000003,6.7,0.04,4,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202052,AG,contact_vuln,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202053,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202101,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202102,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202103,AG,contact_vuln,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202104,AG,contact_vuln,2,indication,685845,2,0,0.003,0.3,0.2,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202105,AG,contact_vuln,24,indication,685845,26,0,0.009,0.8999999999999999,0.7000000000000001,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202106,AG,contact_vuln,52,indication,685845,78,0,0.02,2,1.3,0.01,0.01,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202107,AG,contact_vuln,80,indication,685845,158,0,0.015,1.5,1.4000000000000001,0.01,0.02,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202108,AG,contact_vuln,88,indication,685845,246,0,0.013,1.3,1.4000000000000001,0.01,0.04,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202109,AG,contact_vuln,151,indication,685845,397,0.1,0.025,2.5,1.7000000000000002,0.02,0.06,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202110,AG,contact_vuln,99,indication,685845,496,0.1,0.021,2.1,1.7000000000000002,0.01,0.07,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202111,AG,contact_vuln,82,indication,685845,578,0.1,0.016,1.6,1.7000000000000002,0.01,0.08,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202112,AG,contact_vuln,95,indication,685845,673,0.1,0.011,1.0999999999999999,1.6,0.01,0.1,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202113,AG,contact_vuln,84,indication,685845,757,0.1,0.013,1.3,1.6,0.01,0.11,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202114,AG,contact_vuln,209,indication,685845,966,0.1,0.023,2.3,1.7000000000000002,0.03,0.14,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202115,AG,contact_vuln,422,indication,685845,1388,0.2,0.066,6.6000000000000005,2.1999999999999997,0.06,0.2,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202116,AG,contact_vuln,422,indication,685845,1810,0.3,0.051,5.1,2.5,0.06,0.26,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202117,AG,contact_vuln,900,indication,685845,2710,0.4,0.092,9.2,3.3000000000000003,0.13,0.4,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202118,AG,contact_vuln,981,indication,685845,3691,0.5,0.081,8.1,3.9,0.14,0.54,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202119,AG,contact_vuln,953,indication,685845,4644,0.7,0.066,6.6000000000000005,4.3,0.14,0.68,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202120,AG,contact_vuln,1716,indication,685845,6360,0.9,0.08,8,4.9,0.25,0.93,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202121,AG,contact_vuln,6739,indication,685845,13099,1.9,0.388,38.800000000000004,8.9,0.98,1.91,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202122,AG,contact_vuln,12031,indication,685845,25130,3.7,0.462,46.2,14.499999999999998,1.75,3.66,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202123,AG,contact_vuln,3850,indication,685845,28980,4.2,0.199,19.900000000000002,15.1,0.56,4.23,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202124,AG,contact_vuln,1193,indication,685845,30173,4.4,0.067,6.7,14.299999999999999,0.17,4.4,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202125,AG,contact_vuln,845,indication,685845,31018,4.5,0.036,3.5999999999999996,13.3,0.12,4.52,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202126,AG,contact_vuln,628,indication,685845,31646,4.6,0.024,2.4,12.1,0.09,4.61,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202127,AG,contact_vuln,1080,indication,685845,32726,4.8,0.035,3.5000000000000004,11.200000000000001,0.16,4.77,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202128,AG,contact_vuln,1895,indication,685845,34621,5,0.078,7.8,11,0.28,5.05,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202129,AG,contact_vuln,1447,indication,685845,36068,5.3,0.099,9.9,10.9,0.21,5.26,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202130,AG,contact_vuln,954,indication,685845,37022,5.4,0.097,9.700000000000001,10.9,0.14,5.4,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202131,AG,contact_vuln,498,indication,685845,37520,5.5,0.07,7.000000000000001,10.8,0.07,5.47,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202132,AG,contact_vuln,308,indication,685845,37828,5.5,0.05,5,10.7,0.04,5.52,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202133,AG,contact_vuln,216,indication,685845,38044,5.5,0.041,4.1000000000000005,10.6,0.03,5.55,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202134,AG,contact_vuln,287,indication,685845,38331,5.6,0.047,4.7,10.5,0.04,5.59,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202135,AG,contact_vuln,268,indication,685845,38599,5.6,0.048,4.8,10.4,0.04,5.63,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202136,AG,contact_vuln,275,indication,685845,38874,5.7,0.046,4.6,10.299999999999999,0.04,5.67,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202137,AG,contact_vuln,275,indication,685845,39149,5.7,0.037,3.6999999999999997,10.2,0.04,5.71,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202138,AG,contact_vuln,424,indication,685845,39573,5.8,0.047,4.7,10.100000000000001,0.06,5.77,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202139,AG,contact_vuln,373,indication,685845,39946,5.8,0.039,3.9,9.9,0.05,5.82,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202140,AG,contact_vuln,419,indication,685845,40365,5.9,0.042,4.2,9.8,0.06,5.89,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202052,AG,contact_comm,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202053,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202101,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202102,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202103,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202104,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202105,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202106,AG,contact_comm,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202107,AG,contact_comm,26,indication,685845,26,0,0.005,0.5,0.2,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202108,AG,contact_comm,16,indication,685845,42,0,0.002,0.2,0.2,0,0.01,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202109,AG,contact_comm,113,indication,685845,155,0,0.019,1.9,0.6,0.02,0.02,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
